TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/18
TIME,18:47:16
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.41798
MAXY,     0.75010
MINY,     0.41378
XYDATA
772.0000,0.459475
771.8000,0.45928
771.6000,0.458917
771.4000,0.458816
771.2000,0.458828
771.0000,0.459207
770.8000,0.45935
770.6000,0.45921
770.4000,0.459262
770.2000,0.459197
770.0000,0.459322
769.8000,0.459252
769.6000,0.459203
769.4000,0.45956
769.2000,0.459707
769.0000,0.45927
768.8000,0.459138
768.6000,0.459347
768.4000,0.459689
768.2000,0.459628
768.0000,0.45936
767.8000,0.459624
767.6000,0.459561
767.4000,0.459287
767.2000,0.459353
767.0000,0.459351
766.8000,0.45917
766.6000,0.459518
766.4000,0.459566
766.2000,0.459321
766.0000,0.459414
765.8000,0.459579
765.6000,0.459481
765.4000,0.459158
765.2000,0.458907
765.0000,0.458924
764.8000,0.459368
764.6000,0.459777
764.4000,0.46001
764.2000,0.459828
764.0000,0.459279
763.8000,0.459172
763.6000,0.459398
763.4000,0.459671
763.2000,0.459518
763.0000,0.459356
762.8000,0.459619
762.6000,0.459689
762.4000,0.459813
762.2000,0.459969
762.0000,0.459774
761.8000,0.459497
761.6000,0.459746
761.4000,0.460031
761.2000,0.459991
761.0000,0.459939
760.8000,0.459675
760.6000,0.45957
760.4000,0.459674
760.2000,0.459977
760.0000,0.460263
759.8000,0.459864
759.6000,0.459729
759.4000,0.460079
759.2000,0.460153
759.0000,0.460126
758.8000,0.459813
758.6000,0.459633
758.4000,0.459944
758.2000,0.46017
758.0000,0.46038
757.8000,0.460295
757.6000,0.460055
757.4000,0.460232
757.2000,0.459934
757.0000,0.459699
756.8000,0.460054
756.6000,0.460446
756.4000,0.460377
756.2000,0.459902
756.0000,0.460206
755.8000,0.460587
755.6000,0.460176
755.4000,0.459885
755.2000,0.459848
755.0000,0.45994
754.8000,0.460326
754.6000,0.46045
754.4000,0.460413
754.2000,0.460373
754.0000,0.460381
753.8000,0.46034
753.6000,0.460462
753.4000,0.460541
753.2000,0.460343
753.0000,0.460318
752.8000,0.460468
752.6000,0.460527
752.4000,0.460652
752.2000,0.460681
752.0000,0.460232
751.8000,0.46041
751.6000,0.460495
751.4000,0.460134
751.2000,0.460457
751.0000,0.460775
750.8000,0.460664
750.6000,0.460423
750.4000,0.460261
750.2000,0.46034
750.0000,0.460561
749.8000,0.460499
749.6000,0.460513
749.4000,0.460675
749.2000,0.460426
749.0000,0.460394
748.8000,0.460569
748.6000,0.460378
748.4000,0.460409
748.2000,0.460516
748.0000,0.460434
747.8000,0.460385
747.6000,0.460604
747.4000,0.460853
747.2000,0.461004
747.0000,0.461113
746.8000,0.461016
746.6000,0.460938
746.4000,0.461062
746.2000,0.460996
746.0000,0.46092
745.8000,0.460981
745.6000,0.460965
745.4000,0.460849
745.2000,0.46083
745.0000,0.460927
744.8000,0.460758
744.6000,0.46076
744.4000,0.460911
744.2000,0.460761
744.0000,0.46083
743.8000,0.461138
743.6000,0.461087
743.4000,0.461094
743.2000,0.461089
743.0000,0.461155
742.8000,0.461321
742.6000,0.461182
742.4000,0.460838
742.2000,0.460797
742.0000,0.460908
741.8000,0.460826
741.6000,0.460982
741.4000,0.460937
741.2000,0.461108
741.0000,0.461551
740.8000,0.46151
740.6000,0.461204
740.4000,0.461147
740.2000,0.461287
740.0000,0.461921
739.8000,0.461571
739.6000,0.461223
739.4000,0.461515
739.2000,0.461923
739.0000,0.461887
738.8000,0.461537
738.6000,0.461821
738.4000,0.462031
